src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,sumDuration,minDuration,maxDuration,meanDuration,stdDuration,flows,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
51.104.15.252,192.168.0.159,443,48498,04:95:e6:33:0c:d0,8c:c6:81:20:72:c2,6,2022-07-18 16:56:38,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,2050,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,54.0,0.0,0,1,0,54,0
51.104.15.252,192.168.0.159,443,48496,04:95:e6:33:0c:d0,8c:c6:81:20:72:c2,6,2022-07-18 16:56:39,153582.57293701172,4414.563365063989,26.044621622796395,13.022310811398198,13.022310811398198,2,2,539,139,485.0,54.0,269.5,215.5,85.0,54.0,69.5,15.5,485,54,169.5,182.59312692431772,33340.25,40,40,20,1,51194.190979003906,151389.83726501465,1048.8033294677734,70849.03157835359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,169.5,2051,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15358257293701172,0.15358257293701172,0.15358257293701172,0,0,1,269.5,69.5,0,2,2,539,139
192.168.0.159,142.250.138.188,50108,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:41,39487.361907958984,3342.8416997741847,50.64911666324522,25.32455833162261,25.32455833162261,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039487361907958984,0.039487361907958984,0.039487361907958984,0,0,1,66.0,66.0,0,1,1,66,66
192.168.0.159,108.138.156.163,48366,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:41,36661.14807128906,3600.5419072889026,54.55366526195307,27.276832630976536,27.276832630976536,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666114807128906,0.03666114807128906,0.03666114807128906,0,0,1,66.0,66.0,0,1,1,66,66
192.168.0.159,104.16.85.20,32890,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:43,44352.76985168457,2570.301705648044,45.093012379790245,22.546506189895123,22.546506189895123,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,501,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04435276985168457,0.04435276985168457,0.04435276985168457,0,0,1,54.0,60.0,0,1,1,54,60
192.168.0.159,35.186.224.25,38254,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:43,17706.39419555664,7454.93399402149,112.95354536396198,56.47677268198099,56.47677268198099,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01770639419555664,0.01770639419555664,0.01770639419555664,0,0,1,66.0,66.0,0,1,1,66,66
192.168.0.159,192.168.0.1,57191,53,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,17,2022-07-18 16:56:46,3720.521926879883,63700.740019224606,537.5589875040051,268.77949375200257,268.77949375200257,1,1,85,152,85.0,85.0,85.0,0.0,152.0,152.0,152.0,0.0,152,85,118.5,33.5,1122.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,118.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003720521926879883,0.003720521926879883,0.003720521926879883,0,0,1,85.0,152.0,0,1,1,85,152
192.168.0.159,192.168.0.1,44186,53,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,17,2022-07-18 16:56:46,3597.0211029052734,77564.1821435673,556.0156426062173,278.00782130310864,278.00782130310864,1,1,85,194,85.0,85.0,85.0,0.0,194.0,194.0,194.0,0.0,194,85,139.5,54.5,2970.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,139.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035970211029052734,0.0035970211029052734,0.0035970211029052734,0,0,1,85.0,194.0,0,1,1,85,194
192.168.0.159,192.168.0.1,44687,53,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,17,2022-07-18 16:56:46,1796.722412109375,141925.09554140127,1113.1380042462845,556.5690021231422,556.5690021231422,1,1,97,158,97.0,97.0,97.0,0.0,158.0,158.0,158.0,0.0,158,97,127.5,30.5,930.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,127.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001796722412109375,0.001796722412109375,0.001796722412109375,0,0,1,97.0,158.0,0,1,1,97,158
192.168.0.159,23.96.225.71,41108,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:46,459724.42626953125,16035.693512786896,32.62824236188327,19.57694541712996,13.051296944753307,9,6,2472,4900,1379.0,54.0,274.6666666666667,420.93546615445297,4253.0,54.0,816.6666666666666,1540.7238197966851,4253,54,491.46666666666664,1061.295112377116,1126347.3155555555,180,120,20,4,32837.45901925223,169561.86294555664,0.476837158203125,49281.41628739681,389506.34002685547,170406.34155273438,313.04359436035156,48688.29250335693,56484.42569190625,388271.8086242676,170617.34199523926,0.476837158203125,77654.36172485352,54318.85654897046,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,491.46666666666664,64240,2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45972442626953125,0.45972442626953125,0.45972442626953125,0,0,1,274.6666666666667,816.6666666666666,0,9,6,2472,4900
